gene_symb,omim_id,pubmed_id
A2M,103950,2408344
A2M,103950,94459
A2M,103950,16040006
A2M,103950,9697696
A2M,103950,2434923
A2M,103950,2478422
A2M,103950,10319853
A2M,103950,19639019
A2M,103950,2460294
A2M,103950,1379499
A2M,103950,2581245
A2M,103950,4622731
A2M,103950,9811940
A2M,103950,18499670
A2M,103950,2415929
A2M,103950,1374237
A2M,103950,1717945
A2M,103950,19380872
A2M,103950,2475424
A2M,103950,1370808
A2M,103950,10319855
A2M,103950,10319854
A2M,103950,12966032
A2M,103950,2578664
A2M,103950,7528166
A2M,103950,7544347
A2M,103950,8798779
A2M,103950,15023809
A2ML1,610627,16298998
A2ML1,610627,26121085
A2ML1,610627,27484237
A2ML1,610627,24939586
A4GALT,607922,6879680
A4GALT,607922,10993874
A4GALT,607922,11782470
A4GALT,607922,7072192
A4GALT,607922,15142124
A4GALT,607922,12888565
A4GALT,607922,2644022
A4GALT,607922,11896312
A4GALT,607922,10748143
A4GALT,607922,9920164
A4GALT,607922,1709864
A4GALT,607922,9826718
A4GALT,607922,3964810
A4GALT,607922,7795329
A4GALT,607922,10747952
A4GALT,607922,22965229
A4GALT,607922,20971946
AAAS,605378,18261130
AAAS,605378,12730363
AAAS,605378,11593002
AAAS,605378,15173230
AAAS,605378,11914417
AAAS,605378,11159947
AAAS,605378,18628786
AAAS,605378,8090199
AAAS,605378,12752575
AAAS,605378,11701718
AAAS,605378,9285947
AAAS,605378,11062474
AAAS,605378,8968764
AADAC,600338,24125761
AADAC,600338,21856291
AADAC,600338,8063807
AADAC,600338,22415931
AADAC,600338,11481320
AADAC,600338,9299245
AAGAB,614888,20417359
AAGAB,614888,23000146
AAGAB,614888,10477754
AAGAB,614888,23064416
AANAT,600950,12364461
AANAT,600950,8661026
AANAT,600950,7502081
AANAT,600950,15620360
AANAT,600950,11427721
AANAT,600950,9478897
AANAT,600950,12736803
AANAT,600950,1331672
AANAT,600950,17403780
AANAT,600950,17164235
AANAT,600950,3413487
AANAT,600950,8602533
AANAT,600950,9605843
AANAT,600950,14578935
AARS2,612035,15779907
AARS2,612035,24808023
AARS2,612035,21549344
AARS2,612035,10574462
AARS2,612035,25058219
AASS,605113,934735
AASS,605113,23570448
AASS,605113,10775527
AASS,605113,23890588
AASS,605113,30573525
AATF,608463,12847090
AATF,608463,10783144
AATF,608463,11027528
AATF,608463,14636992
ABAT,137150,3985010
ABAT,137150,6148708
ABAT,137150,7305280
ABAT,137150,28411234
ABAT,137150,10407778
ABAT,137150,27596361
ABAT,137150,7721088
ABAT,137150,20052547
ABCA1,600046,15790791
ABCA1,600046,29306077
ABCA1,600046,9006906
ABCA1,600046,10431237
ABCA1,600046,10431236
ABCA1,600046,16543947
ABCA1,600046,17322896
ABCA1,600046,21480869
ABCA1,600046,12624133
ABCA1,600046,15297675
ABCA1,600046,9020838
ABCA1,600046,12084722
ABCA1,600046,3005356
ABCA1,600046,12111381
ABCA1,600046,15269218
ABCA1,600046,12009425
ABCA1,600046,8209894
ABCA1,600046,11476965
ABCA1,600046,12111371
ABCA1,600046,4000967
ABCA1,600046,18354102
ABCA1,600046,16372134
ABCA1,600046,12702168
ABCA1,600046,1571556
ABCA1,600046,10092505
ABCA1,600046,11476961
ABCA1,600046,10525055
ABCA1,600046,11030331
ABCA1,600046,8088782
ABCA1,600046,7627690
ABCA1,600046,9888879
ABCA1,600046,10760292
ABCA1,600046,20466882
ABCA1,600046,14747463
